input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	confers_resistance_to	resistance_to_drug_classes
SRR2938063_375	SRR2938063.fq	vanR	CAB61229|FEATURES|vanR|vancomycin|vanR	sarg_db	2.3	CAB61229	ARGs-OAP	2.3	67.39			140	3			75	120									vancomycin					
SRR2938063_376	SRR2938063.fq	oleB	AAA50325|FEATURES|oleB|macrolide-lincosamide-streptogramin|oleB	sarg_db	2.3	AAA50325	ARGs-OAP	2.3	58.97			13	129			42	80									macrolide-lincosamide-streptogramin			ARO:3003036	ARO:3000867	ARO:0000000
SRR2938063_377	SRR2938063.fq	tetQ	P70882|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	P70882	ARGs-OAP	2.3	97.83			140	3			33	78									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_379	SRR2938063.fq	macB	gi|446110301|ref|WP_000188156.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|446110301|ref|WP_000188156.1|	ARGs-OAP	2.3	61.7			2	142			51	97									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_380	SRR2938063.fq	transcriptional regulatory protein CpxR cpxR	CP001485.1.gene721.p01|FEATURES|transcriptional regulatory protein CpxR cpxR|unclassified|transcriptional regulatory protein CpxR cpxR	sarg_db	2.3	CP001485.1.gene721.p01	ARGs-OAP	2.3	57.14			3	116			87	128									unclassified					
SRR2938063_381	SRR2938063.fq	tetQ	Q52360|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	Q52360	ARGs-OAP	2.3	100.0			1	141			438	484									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_383	SRR2938063.fq	ermF	M14730.gene.p01|FEATURES|ermF|macrolide-lincosamide-streptogramin|ermF	sarg_db	2.3	M14730.gene.p01	ARGs-OAP	2.3	100.0			142	2			5	51									macrolide-lincosamide-streptogramin			ARO:3000498	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_385	SRR2938063.fq	carA	M80346.gene.p01|FEATURES|carA|carbomycin|carA	sarg_db	2.3	M80346.gene.p01	ARGs-OAP	2.3	60.0			50	139			197	226									carbomycin			ARO:3002817	ARO:3001228	ARO:0000000
SRR2938063_386	SRR2938063.fq	vanD	BAD60925|FEATURES|vanD|vancomycin|vanD	sarg_db	2.3	BAD60925	ARGs-OAP	2.3	50.0			4	141			316	361									vancomycin					
SRR2938063_387	SRR2938063.fq	cmeB	gi|488957605|ref|WP_002868680.1||FEATURES|cmeB|multidrug|cmeB	sarg_db	2.3	gi|488957605|ref|WP_002868680.1|	ARGs-OAP	2.3	82.14			86	3			879	906									multidrug					
SRR2938063_388	SRR2938063.fq	aadA	AB114632.1.gene2.p01|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	AB114632.1.gene2.p01	ARGs-OAP	2.3	100.0			141	1			63	109									aminoglycoside			ARO:3002607	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_389	SRR2938063.fq	qacEdelta1	YP_009182146.1|FEATURES|qacEdelta1|multidrug|qacEdelta1	sarg_db	2.3	YP_009182146.1	ARGs-OAP	2.3	100.0			3	140			61	106									multidrug					
SRR2938063_391	SRR2938063.fq	vanD	ACM47287|FEATURES|vanD|vancomycin|vanD	sarg_db	2.3	ACM47287	ARGs-OAP	2.3	65.62			47	142			89	120									vancomycin			ARO:3000005	ARO:3000081	ARO:3000081
SRR2938063_392	SRR2938063.fq	multidrug_transporter	gi|499229009|ref|WP_010926549.1||FEATURES|multidrug_transporter|multidrug|multidrug_transporter	sarg_db	2.3	gi|499229009|ref|WP_010926549.1|	ARGs-OAP	2.3	68.09			1	141			929	975									multidrug					
SRR2938063_393	SRR2938063.fq	aph(3'')-I	DQ464881.1.gene4.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	DQ464881.1.gene4.p01	ARGs-OAP	2.3	100.0			142	2			103	149									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_394	SRR2938063.fq	multidrug_ABC_transporter	gi|664579989|ref|WP_031094015.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|664579989|ref|WP_031094015.1|	ARGs-OAP	2.3	63.64			139	8			533	576									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_395	SRR2938063.fq	bacA	YP_316450|FEATURES|bacA|bacitracin|bacA	sarg_db	2.3	YP_316450	ARGs-OAP	2.3	60.87			5	142			147	192									bacitracin			ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_396	SRR2938063.fq	tet36	AJ514254.gene.p01|FEATURES|tet36|tetracycline|tet36	sarg_db	2.3	AJ514254.gene.p01	ARGs-OAP	2.3	100.0			1	141			77	123									tetracycline			ARO:3000197	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_397	SRR2938063.fq	tetM	AAS45561|FEATURES|tetM|tetracycline|tetM	sarg_db	2.3	AAS45561	ARGs-OAP	2.3	100.0			141	1			105	151									tetracycline			ARO:3000186	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_398	SRR2938063.fq	dfrA1	CAL48457|FEATURES|dfrA1|trimethoprim|dfrA1	sarg_db	2.3	CAL48457	ARGs-OAP	2.3	60.87			2	139			57	101									trimethoprim			ARO:3002857	ARO:3000188	ARO:3000171
SRR2938063_399	SRR2938063.fq	macB	gi|1033064422|ref|WP_064375412.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|1033064422|ref|WP_064375412.1|	ARGs-OAP	2.3	62.79			129	1			18	60									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_404	SRR2938063.fq	vanR	gi|530818241|gb|EQC77429.1||FEATURES|vanR|vancomycin|vanR	sarg_db	2.3	gi|530818241|gb|EQC77429.1|	ARGs-OAP	2.3	67.39			3	140			85	130									vancomycin					
SRR2938063_405	SRR2938063.fq	tet37	AAN28721|FEATURES|tet37|tetracycline|tet37	sarg_db	2.3	AAN28721	ARGs-OAP	2.3	70.21			142	2			31	75									tetracycline			ARO:3002871	ARO:0000051	ARO:3000050
SRR2938063_406	SRR2938063.fq	mexD	gi|852273548|ref|WP_048328542.1||FEATURES|mexD|multidrug|mexD	sarg_db	2.3	gi|852273548|ref|WP_048328542.1|	ARGs-OAP	2.3	87.5			120	1			896	935									multidrug			ARO:3000801		
SRR2938063_407	SRR2938063.fq	tet36	AJ514254.gene.p01|FEATURES|tet36|tetracycline|tet36	sarg_db	2.3	AJ514254.gene.p01	ARGs-OAP	2.3	95.65			140	3			53	98									tetracycline			ARO:3000197	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_410	SRR2938063.fq	aph(6)-I	gi|545272242|ref|WP_021561466.1||FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	gi|545272242|ref|WP_021561466.1|	ARGs-OAP	2.3	100.0			1	138			170	215									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_413	SRR2938063.fq	aadA	AB114632.1.gene2.p01|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	AB114632.1.gene2.p01	ARGs-OAP	2.3	100.0			140	3			200	245									aminoglycoside			ARO:3002607	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_414	SRR2938063.fq	TolC	gi|83701794|gb|ABC41336.1||FEATURES|TolC|multidrug|TolC	sarg_db	2.3	gi|83701794|gb|ABC41336.1|	ARGs-OAP	2.3	60.53			132	19			359	396									multidrug			ARO:3000237		
SRR2938063_415	SRR2938063.fq	multidrug_ABC_transporter	gi|1006148426|ref|WP_061732450.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1006148426|ref|WP_061732450.1|	ARGs-OAP	2.3	63.04			139	2			434	479									multidrug					
SRR2938063_416	SRR2938063.fq	PBP-1A	ZP_04466634|FEATURES|PBP-1A|beta-lactam|PBP-1A	sarg_db	2.3	ZP_04466634	ARGs-OAP	2.3	62.79			134	6			153	195									beta-lactam					
SRR2938063_417	SRR2938063.fq	mexW	CAY51926|FEATURES|mexW|multidrug|mexW	sarg_db	2.3	CAY51926	ARGs-OAP	2.3	60.87			137	3			895	940									multidrug			ARO:3003031		
SRR2938063_418	SRR2938063.fq	arnA	B7LM76|FEATURES|arnA|polymyxin|arnA	sarg_db	2.3	B7LM76	ARGs-OAP	2.3	57.78			6	140			92	136									polymyxin			ARO:3002985	ARO:3000454	ARO:1000003
SRR2938063_419	SRR2938063.fq	multidrug_ABC_transporter	gi|664395661|ref|WP_030922045.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|664395661|ref|WP_030922045.1|	ARGs-OAP	2.3	65.91			2	133			516	559									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_421	SRR2938063.fq	tet36	AJ514254.gene.p01|FEATURES|tet36|tetracycline|tet36	sarg_db	2.3	AJ514254.gene.p01	ARGs-OAP	2.3	70.21			2	142			267	313									tetracycline			ARO:3000197	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_422	SRR2938063.fq	qacEdelta1	YP_009182146.1|FEATURES|qacEdelta1|multidrug|qacEdelta1	sarg_db	2.3	YP_009182146.1	ARGs-OAP	2.3	100.0			3	140			21	66									multidrug					
SRR2938063_425	SRR2938063.fq	macB	gi|823291602|ref|WP_047047573.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|823291602|ref|WP_047047573.1|	ARGs-OAP	2.3	62.22			6	140			129	173									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_426	SRR2938063.fq	tetT	AAV80410|FEATURES|tetT|tetracycline|tetT	sarg_db	2.3	AAV80410	ARGs-OAP	2.3	82.98			1	141			317	363									tetracycline			ARO:3000193	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_427	SRR2938063.fq	ermX	NP_940746|FEATURES|ermX|macrolide-lincosamide-streptogramin|ermX	sarg_db	2.3	NP_940746	ARGs-OAP	2.3	100.0			142	2			167	213									macrolide-lincosamide-streptogramin			ARO:3000596	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_429	SRR2938063.fq	aph(6)-I	gi|802115701|ref|WP_046033939.1||FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	gi|802115701|ref|WP_046033939.1|	ARGs-OAP	2.3	97.87			2	142			129	175									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_432	SRR2938063.fq	tetZ	AF121000.gene.p01|FEATURES|tetZ|tetracycline|tetZ	sarg_db	2.3	AF121000.gene.p01	ARGs-OAP	2.3	65.85			141	22			146	186									tetracycline			ARO:3000183	ARO:0000051	ARO:3000050
SRR2938063_433	SRR2938063.fq	msrC	gi|488247627|ref|WP_002318835.1||FEATURES|msrC|macrolide-lincosamide-streptogramin|msrC	sarg_db	2.3	gi|488247627|ref|WP_002318835.1|	ARGs-OAP	2.3	68.09			1	141			155	201									macrolide-lincosamide-streptogramin			ARO:3002819	ARO:0000006,ARO:3000584	ARO:0000000,ARO:0000026
SRR2938063_436	SRR2938063.fq	tet44	FN594949.1.gene24.p01|FEATURES|tet44|tetracycline|tet44	sarg_db	2.3	FN594949.1.gene24.p01	ARGs-OAP	2.3	100.0			16	141			1	42									tetracycline			ARO:3000556	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_437	SRR2938063.fq	dfrA1	CAL48457|FEATURES|dfrA1|trimethoprim|dfrA1	sarg_db	2.3	CAL48457	ARGs-OAP	2.3	61.7			141	1			107	153									trimethoprim			ARO:3002857	ARO:3000188	ARO:3000171
SRR2938063_441	SRR2938063.fq	tetO	ZP_03223548|FEATURES|tetO|tetracycline|tetO	sarg_db	2.3	ZP_03223548	ARGs-OAP	2.3	100.0			1	141			181	227									tetracycline			ARO:3000190	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_442	SRR2938063.fq	acrB	YP_001747848|FEATURES|acrB|multidrug|acrB	sarg_db	2.3	YP_001747848	ARGs-OAP	2.3	61.7			2	142			853	899									multidrug					
SRR2938063_444	SRR2938063.fq	macB	gi|693106883|ref|WP_032260279.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|693106883|ref|WP_032260279.1|	ARGs-OAP	2.3	72.73			101	3			144	176									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_447	SRR2938063.fq	qacEdelta1	YP_009182146.1|FEATURES|qacEdelta1|multidrug|qacEdelta1	sarg_db	2.3	YP_009182146.1	ARGs-OAP	2.3	100.0			32	142			1	37									multidrug					
SRR2938063_448	SRR2938063.fq	cmeB	gi|504329842|ref|WP_014516944.1||FEATURES|cmeB|multidrug|cmeB	sarg_db	2.3	gi|504329842|ref|WP_014516944.1|	ARGs-OAP	2.3	64.44			8	142			2	46									multidrug					
SRR2938063_451	SRR2938063.fq	multidrug_ABC_transporter	gi|944009777|ref|WP_055601444.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|944009777|ref|WP_055601444.1|	ARGs-OAP	2.3	56.52			141	4			487	532									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_454	SRR2938063.fq	tetW	AAO42740|FEATURES|tetW|tetracycline|tetW	sarg_db	2.3	AAO42740	ARGs-OAP	2.3	100.0			1	141			567	613									tetracycline			ARO:3007123	ARO:0000051	ARO:3000050
SRR2938063_458	SRR2938063.fq	sul1	AY162283.2.gene7.p01|FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	AY162283.2.gene7.p01	ARGs-OAP	2.3	100.0			1	141			123	169									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_459	SRR2938063.fq	cmeB	gi|488955559|ref|WP_002866634.1||FEATURES|cmeB|multidrug|cmeB	sarg_db	2.3	gi|488955559|ref|WP_002866634.1|	ARGs-OAP	2.3	65.12			12	140			2	44									multidrug					
SRR2938063_460	SRR2938063.fq	tet37	AAN28721|FEATURES|tet37|tetracycline|tet37	sarg_db	2.3	AAN28721	ARGs-OAP	2.3	65.96			141	1			28	72									tetracycline			ARO:3002871	ARO:0000051	ARO:3000050
SRR2938063_462	SRR2938063.fq	catB	FJ460181.2.gene2.p01|FEATURES|catB|chloramphenicol|catB	sarg_db	2.3	FJ460181.2.gene2.p01	ARGs-OAP	2.3	65.96			2	142			128	174									chloramphenicol			ARO:3002680	ARO:3000382,ARO:3000385,ARO:3000456	ARO:3000387,ARO:3000387,ARO:3000387
SRR2938063_463	SRR2938063.fq	tetT	L42544.gene.p01|FEATURES|tetT|tetracycline|tetT	sarg_db	2.3	L42544.gene.p01	ARGs-OAP	2.3	100.0			1	90			591	620									tetracycline			ARO:3000193	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_464	SRR2938063.fq	tetZ	AF121000.gene.p01|FEATURES|tetZ|tetracycline|tetZ	sarg_db	2.3	AF121000.gene.p01	ARGs-OAP	2.3	68.97			1	87			111	139									tetracycline			ARO:3000183	ARO:0000051	ARO:3000050
SRR2938063_466	SRR2938063.fq	bcrA	AAD21213|FEATURES|bcrA|bacitracin|bcrA	sarg_db	2.3	AAD21213	ARGs-OAP	2.3	60.0			140	6			10	54									bacitracin			ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_469	SRR2938063.fq	msrC	gi|488216250|ref|WP_002287458.1||FEATURES|msrC|macrolide-lincosamide-streptogramin|msrC	sarg_db	2.3	gi|488216250|ref|WP_002287458.1|	ARGs-OAP	2.3	68.29			3	125			158	198									macrolide-lincosamide-streptogramin			ARO:3002819	ARO:0000006,ARO:3000584	ARO:0000000,ARO:0000026
SRR2938063_470	SRR2938063.fq	vanH	gi|552942232|ref|WP_023043160.1||FEATURES|vanH|vancomycin|vanH	sarg_db	2.3	gi|552942232|ref|WP_023043160.1|	ARGs-OAP	2.3	63.83			142	2			219	265									vancomycin			ARO:3002944	ARO:3000081	ARO:3000081
SRR2938063_471	SRR2938063.fq	aph(3'')-I	DQ464881.1.gene4.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	DQ464881.1.gene4.p01	ARGs-OAP	2.3	100.0			2	142			22	68									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_474	SRR2938063.fq	macB	gi|695665202|ref|WP_032624546.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|695665202|ref|WP_032624546.1|	ARGs-OAP	2.3	65.96			1	141			125	171									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_477	SRR2938063.fq	msrC	AY004350.gene.p01|FEATURES|msrC|macrolide-lincosamide-streptogramin|msrC	sarg_db	2.3	AY004350.gene.p01	ARGs-OAP	2.3	61.7			141	1			134	180									macrolide-lincosamide-streptogramin			ARO:3002819	ARO:0000006,ARO:3000584	ARO:0000000,ARO:0000026
SRR2938063_478	SRR2938063.fq	sul2	CAE53425|FEATURES|sul2|sulfonamide|sul2	sarg_db	2.3	CAE53425	ARGs-OAP	2.3	100.0			130	56			265	289									sulfonamide			ARO:3000412	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_480	SRR2938063.fq	multidrug_ABC_transporter	gi|948137056|ref|WP_056795395.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|948137056|ref|WP_056795395.1|	ARGs-OAP	2.3	61.7			1	141			521	567									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_482	SRR2938063.fq	aph(6)-I	ZP_04405450|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	ZP_04405450	ARGs-OAP	2.3	100.0			140	54			277	305									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_484	SRR2938063.fq	vanR	ABX79411|FEATURES|vanR|vancomycin|vanR	sarg_db	2.3	ABX79411	ARGs-OAP	2.3	71.74			140	3			75	120									vancomycin					
SRR2938063_485	SRR2938063.fq	aph(6)-I	CAC86407|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	CAC86407	ARGs-OAP	2.3	100.0			3	140			42	87									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_486	SRR2938063.fq	mefA	gi|516364340|ref|WP_017754373.1||FEATURES|mefA|macrolide-lincosamide-streptogramin|mefA	sarg_db	2.3	gi|516364340|ref|WP_017754373.1|	ARGs-OAP	2.3	74.47			141	1			196	242									macrolide-lincosamide-streptogramin			ARO:3000616	ARO:0000006,ARO:0000057	ARO:0000000,ARO:0000000
SRR2938063_488	SRR2938063.fq	sul1	gi|691004724|ref|WP_031970694.1||FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	gi|691004724|ref|WP_031970694.1|	ARGs-OAP	2.3	100.0			3	140			157	202									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_489	SRR2938063.fq	bacA	YP_001797193|FEATURES|bacA|bacitracin|bacA	sarg_db	2.3	YP_001797193	ARGs-OAP	2.3	60.42			2	142			12	59									bacitracin			ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_490	SRR2938063.fq	sul1	gi|638931161|ref|WP_024439378.1||FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	gi|638931161|ref|WP_024439378.1|	ARGs-OAP	2.3	100.0			140	48			248	278									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_496	SRR2938063.fq	multidrug_ABC_transporter	gi|948137056|ref|WP_056795395.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|948137056|ref|WP_056795395.1|	ARGs-OAP	2.3	60.0			6	140			533	577									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_497	SRR2938063.fq	sul1	gi|502019090|ref|WP_012695459.1||FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	gi|502019090|ref|WP_012695459.1|	ARGs-OAP	2.3	100.0			2	142			14	60									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_499	SRR2938063.fq	bcrA	YP_001373621|FEATURES|bcrA|bacitracin|bcrA	sarg_db	2.3	YP_001373621	ARGs-OAP	2.3	55.56			2	136			132	176									bacitracin			ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_500	SRR2938063.fq	adeC	CP003583.1.gene2512.p01|FEATURES|adeC|multidrug|adeC	sarg_db	2.3	CP003583.1.gene2512.p01	ARGs-OAP	2.3	63.83			141	1			67	113									multidrug					
SRR2938063_501	SRR2938063.fq	tetZ	AF121000.gene.p01|FEATURES|tetZ|tetracycline|tetZ	sarg_db	2.3	AF121000.gene.p01	ARGs-OAP	2.3	63.83			2	142			341	384									tetracycline			ARO:3000183	ARO:0000051	ARO:3000050
SRR2938063_502	SRR2938063.fq	sul1	gi|685899575|ref|WP_031640202.1||FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	gi|685899575|ref|WP_031640202.1|	ARGs-OAP	2.3	100.0			120	1			10	49									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_504	SRR2938063.fq	aph(3'')-I	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	AF313472.2.gene15.p01	ARGs-OAP	2.3	96.77			94	2			1	31									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_506	SRR2938063.fq	tetT	AAV80410|FEATURES|tetT|tetracycline|tetT	sarg_db	2.3	AAV80410	ARGs-OAP	2.3	58.7			138	1			44	89									tetracycline			ARO:3000193	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_507	SRR2938063.fq	tet37	AAN28721|FEATURES|tet37|tetracycline|tet37	sarg_db	2.3	AAN28721	ARGs-OAP	2.3	66.67			2	136			22	64									tetracycline			ARO:3002871	ARO:0000051	ARO:3000050
SRR2938063_508	SRR2938063.fq	tetM	BAB71968|FEATURES|tetM|tetracycline|tetM	sarg_db	2.3	BAB71968	ARGs-OAP	2.3	62.22			141	7			65	109									tetracycline			ARO:3000186	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
