Original ID	argNorm drug classes	Original Drug Classes	Hit type	Status	Description
gi:490856477:ref:WP_004718520.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
CP000647.1.gene3517.p01|FEATURES|bacterial_regulatory_protein_LuxR|unclassified|bacterial_regulatory_protein_LuxR	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic']	unclassified	Loose	correct	
AAA67509|FEATURES|tcmA|tetracenomycin_C|tcmA	['macrolide antibiotic', 'disinfecting agents and antiseptics']	tetracenomycin_C	Loose	3003554	tcmA is actually a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:489818582:ref:WP_003722396.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	['beta-lactam antibiotic']	unclassified	Loose	3000025	
gi:446993908:ref:WP_001071164.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
P18644|FEATURES|thiostrepton_resistance_methylase_tsnR|unclassified|thiostrepton_resistance_methylase_tsnR	['peptide antibiotic']	unclassified	Loose	correct	
NC_003923.1003359.p01|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:447201637:ref:WP_001278893.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:446993875:ref:WP_001071131.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:505065763:ref:WP_015252865.1:|FEATURES|tmrB|unclassified|tmrB	['nucleoside antibiotic']	unclassified	Strict	correct	
YP_002039320|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:487032971:ref:WP_001625114.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
ZP_01813310|FEATURES|tet34|tetracycline|tet34	['macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
CP004022.1.gene2827.p01|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	correct	
gi:1002519395:ref:WP_061390634.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:447201638:ref:WP_001278894.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
AAM13572|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
ZP_02197344|FEATURES|tet34|tetracycline|tet34	['beta-lactam antibiotic', 'beta-lactam antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
NC_002745.1124031.p01|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:446993883:ref:WP_001071139.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
AF024666.2.gene7.p01|FEATURES|tetB|tetracycline|tetB	['aminocoumarin antibiotic']	tetracycline	Loose	3000166	
ZP_02902942|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3000166	
YP_002418004|FEATURES|tet34|tetracycline|tet34	['macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
CP001918.1.gene1661.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic']	unclassified	Loose	correct	
AAL73823|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
gi:446993884:ref:WP_001071140.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:446993893:ref:WP_001071149.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1031778566:ref:WP_064126137.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:771454993:ref:WP_045149547.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:1021747353:gb:KZO85247.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
ZP_03589973|FEATURES|tmrB|unclassified|tmrB	['nucleoside antibiotic']	unclassified	Strict	correct	
BAC11911.1|FEATURES|emeA|acridine_dye|emeA	['disinfecting agents and antiseptics']	acridine_dye	Perfect	correct	
AAC28105|FEATURES|Vibrio_cholerae_OmpT|peptide|Vibrio_cholerae_OmpT	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	peptide	Loose	3004118	
NP_273367.1|FEATURES|farA|antibacterial_free_fatty_acids|farA	['antibacterial free fatty acids', 'antibacterial free fatty acids', 'antibacterial free fatty acids']	antibacterial_free_fatty_acids	Perfect	correct	
NP_358969.1|FEATURES|patB|fluoroquinolone|patB	['macrolide antibiotic', 'tetracycline antibiotic', 'disinfecting agents and antiseptics']	fluoroquinolone	Loose	3000025	
NP_253661.1|FEATURES|OpmH|triclosan|OpmH	['disinfecting agents and antiseptics']	triclosan	Perfect	correct	
NP_248848.1|FEATURES|TriC|triclosan|TriC	['disinfecting agents and antiseptics']	triclosan	Perfect	correct	
NP_248847.1|FEATURES|TriB|triclosan|TriB	['disinfecting agents and antiseptics']	triclosan	Perfect	correct	
YP_004928104.1|FEATURES|CrpP|fluoroquinolone|CrpP	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	fluoroquinolone	Loose	3004467	
AID70696|FEATURES|Vibrio_cholerae_OmpU|peptide|Vibrio_cholerae_OmpU	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	peptide	Loose	3004117	
AKL79742.1|FEATURES|carO|beta-lactam|carO	['peptide antibiotic', 'peptide antibiotic']	beta-lactam	Loose	3003808	
AHH86051.1|FEATURES|EdeQ|polyamine:peptide|EdeQ	['peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'polyamine antibiotic']	polyamine:peptide	Perfect	correct	
ABF66011.1|FEATURES|lmrC|MLS|lmrC	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	MLS	Loose	3002881	
AMP35312.1|FEATURES|vgaC|MLS|vgaC	['fluoroquinolone antibiotic', 'aminoglycoside antibiotic']	MLS	Loose	3002831	
AAZ42322.1|FEATURES|qacH|fluoroquinolone|qacH	['disinfecting agents and antiseptics']	fluoroquinolone	Perfect	correct	
NP_248846.1|FEATURES|TriA|triclosan|TriA	['disinfecting agents and antiseptics']	triclosan	Perfect	correct	
NP_273368.1|FEATURES|farB|antibacterial_free_fatty_acids|farB	['antibacterial free fatty acids', 'antibacterial free fatty acids', 'antibacterial free fatty acids']	antibacterial_free_fatty_acids	Perfect	correct	
MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	Fosfomycin	Perfect	correct	
MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	Cationic_antimicrobial_peptides	Loose	3003579	
MEG_1288|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	betalactams	Perfect	3000160	blaI is a gene in CARD. However, its ARO isn't used by RGI (private model)
MEG_1458|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE	['phenicol antibiotic']	Glycopeptides	Loose	3001205	
MEG_1461|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM	['aminoglycoside antibiotic']	Glycopeptides	Loose	3005036	
MEG_1462|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM	['phosphonic acid antibiotic']	Glycopeptides	Loose	3005036	
MEG_1607|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	Phenicol	Strict	3002674	
MEG_1642|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CDSA|RequiresSNPConfirmation	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'diaminopyrimidine antibiotic', 'phenicol antibiotic']	Lipopeptides	Loose	3004096	
MEG_1730|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation	['aminoglycoside antibiotic', 'aminoglycoside antibiotic']	Lipopeptides	Loose	3003272	
MEG_1731|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation	['fluoroquinolone antibiotic', 'tetracycline antibiotic', 'disinfecting agents and antiseptics']	Lipopeptides	Loose	3003272	
MEG_1738|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'fusidane antibiotic']	Drug_and_biocide_and_metal_resistance	Perfect	correct	
MEG_1740|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'fusidane antibiotic']	Drug_and_biocide_and_metal_resistance	Perfect	correct	
MEG_1742|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'fusidane antibiotic']	Drug_and_biocide_and_metal_resistance	Perfect	correct	
MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'fusidane antibiotic']	Drug_and_biocide_and_metal_resistance	Perfect	correct	
MEG_2113|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CPT	['lincosamide antibiotic', 'streptogramin antibiotic', 'pleuromutilin antibiotic']	Phenicol	Loose	3000249	
MEG_2133|Drugs|Fluoroquinolones|Fluoroquinolone_resistance_phosphotransferase|CRPP	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3004467	
MEG_2709|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3003452	
MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation	['glycopeptide antibiotic', 'glycopeptide antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3000235	
MEG_2711|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation	['glycopeptide antibiotic', 'glycopeptide antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3000235	
MEG_2712|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBC|RequiresSNPConfirmation	['macrolide antibiotic', 'streptogramin antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3002706	
MEG_2713|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBR|RequiresSNPConfirmation	['glycopeptide antibiotic', 'glycopeptide antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3003454	
MEG_2866|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethionamide-resistant_mutant|ETHA|RequiresSNPConfirmation	['tetracycline antibiotic', 'tetracycline antibiotic']	Mycobacterium_tuberculosis-specific_Drug	Loose	3003457	
MEG_2880|Drugs|Elfamycins|Elfamycin_efflux_pumps|FACT	['elfamycin antibiotic']	Elfamycins	Perfect	correct	
MEG_2997|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	['macrolide antibiotic', 'macrolide antibiotic']	Fosfomycin	Loose	3000149	
MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation	['tetracycline antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic']	Fusidic_acid	Loose	3003734	
MEG_3135|Drugs|Aminoglycosides|Aminoglycoside-resistant_gidB|GIDB|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Aminoglycosides	Loose	3003466	
MEG_3143|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	Fosfomycin	Loose	3004247	
MEG_3144|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation	['phenicol antibiotic']	Fosfomycin	Loose	3004247	
MEG_3176|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['macrolide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3177|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3178|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3180|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['macrolide antibiotic', 'streptogramin antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3182|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3183|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['peptide antibiotic', 'peptide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3184|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3186|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['glycopeptide antibiotic', 'glycopeptide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3188|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['aminocoumarin antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3192|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['peptide antibiotic', 'peptide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3193|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['peptide antibiotic', 'peptide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3194|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3195|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['fusidane antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3196|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3197|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3198|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3199|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['tetracycline antibiotic', 'tetracycline antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3202|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3203|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3204|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3205|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3206|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['macrolide antibiotic', 'streptogramin antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3208|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3209|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3210|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3212|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3213|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3214|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3215|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['peptide antibiotic', 'peptide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3217|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3218|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['macrolide antibiotic', 'macrolide antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3219|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3220|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3221|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3224|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3225|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3226|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	Fluoroquinolones	Loose	3003292	
MEG_3228|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	['peptide antibiotic', 'peptide antibiotic']	Fluoroquinolones	Loose	3003292	
