#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts
KDPE	4	225	ExDog1_225376	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9869053293914947	53.3	225	232	9.28e-78	1
UGD	2	388	ExDog1_36193	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8974889638529537	60.4	409	483	1.92e-171	1
LNUA	2	158	ExDog1_253319	MLS	YP_758631|FEATURES|lnuA|MLS|lnuA	0.9999999127126727	53.5	157	184	1.40e-60	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	3	285	ExDog1_187885	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9991795826004894	60.0	285	370	6.44e-130	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_55051	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995530443627791	64.2	285	401	2.67e-142	1
VANRI	2	232	ExDog1_250450	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999600692139765	56.2	235	270	1.19e-92	1
MEFA	1	401	ExDog1_210296	MLS	gi:653615298:ref:WP_027625762.1:|FEATURES|mefA|MLS|mefA	0.9998700187675338	100	401	748	4.43e-276	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	ExDog1_238425	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9710030815867194	53.4	118	132	1.19e-39	1
UGD	1	388	ExDog1_156448	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8907697881322575	55.9	435	461	2.86e-162	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_217404	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9997072688310459	67.0	288	424	1.84e-151	1
RPOB2	24	1122	ExDog1_265243	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940114385587453	53.2	1236	1201	0.0	1
UGD	1	388	ExDog1_57470	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8732142878639892	54.4	388	415	5.50e-145	1
VANR	5	235	ExDog1_260588	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999304209323743	55.2	232	250	1.31e-84	1
UGD	1	388	ExDog1_219661	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8972005485249834	60.4	412	482	9.35e-171	1
EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER	38	497	ExDog1_57923	multidrug	AE016830.1.gene424.p01|FEATURES|EmrB-QacA_family_major_facilitator_transporter|multidrug|EmrB-QacA_family_major_facilitator_transporter	0.9189730741461724	65.0	460	605	7.72e-217	1
VANU	1	70	ExDog1_225482	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9939327299546002	57.1	70	80.1	4.06e-22	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	14	226	ExDog1_81069	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9989206364713054	76.7	215	335	8.11e-119	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	80	ExDog1_56672	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129428	57.5	73	78.2	1.88e-19	1
UGD	1	388	ExDog1_258517	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8917338766717547	54.9	439	464	1.65e-163	1
RPOB2	24	1150	ExDog1_33445	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9952271625094594	55.8	1222	1267	0.0	1
VANS	26	133	ExDog1_98726	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9777328926757646	57.8	109	145	9.82e-47	1
MARA	1	127	ExDog1_196996	multidrug	YP_489794.1|FEATURES|marA|multidrug|marA	0.9944685938966856	100	127	259	8.13e-92	1
AADE	1	288	ExDog1_302903	aminoglycoside	ZP_04556181|FEATURES|aadE|aminoglycoside|aadE	0.9999996510452681	100	288	597	4.81e-220	1
LNUA	16	160	ExDog1_80169	MLS	YP_758631|FEATURES|lnuA|MLS|lnuA	0.9999999061225852	54.5	145	183	1.08e-60	1
KLEBSIELLA_PNEUMONIAE_OMPK37	42	371	ExDog1_45150	beta-lactam	CAA09666.1|FEATURES|Klebsiella_pneumoniae_OmpK37|beta-lactam|Klebsiella_pneumoniae_OmpK37	0.8999705781989664	76.1	339	506	4.10e-182	1
VANR	1	234	ExDog1_252391	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999941792846379	65.8	234	322	4.09e-113	1
BACA	9	271	ExDog1_282446	bacitracin	Q5P6K4|FEATURES|bacA|bacitracin|bacA	0.991033862363416	55.8	267	294	8.07e-101	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_217740	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994896139484771	62.0	287	394	5.77e-140	1
LSA	3	492	ExDog1_209931	MLS	gi:902795376:ref:WP_049664555.1:|FEATURES|lsa|MLS|lsa	0.9748867590371088	63.3	490	635	3.70e-228	1
VANU	1	70	ExDog1_227057	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9932897166758545	55.7	70	78.6	1.20e-21	1
RPOB2	20	1122	ExDog1_179730	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9946137335241185	54.1	1238	1231	0.0	1
UGD	2	388	ExDog1_142879	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.889119200091793	54.6	434	456	2.11e-160	1
LSA	1	490	ExDog1_243887	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9209935201339547	70.2	490	701	1.79e-254	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	5	185	ExDog1_369749	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9874111938880193	56.0	182	182	5.33e-59	1
UGD	3	388	ExDog1_5186	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8933041104931702	56.5	437	469	3.54e-165	1
RPOB2	28	1122	ExDog1_129086	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9921794075609366	52.9	1178	1130	0.0	1
BACA	1	272	ExDog1_324008	bacitracin	YP_932216|FEATURES|bacA|bacitracin|bacA	0.9929516985204917	57.0	277	306	1.66e-105	1
LSA	3	492	ExDog1_112178	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9994892840797914	68.4	490	675	3.10e-244	1
UGD	1	388	ExDog1_213811	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8870759176340515	54.0	441	450	1.11e-157	1
VANU	1	63	ExDog1_190331	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9931017664635273	60.3	63	78.2	1.78e-21	1
EFRA	2	469	ExDog1_76509	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8763553615096508	51.4	471	451	1.51e-154	1
UGD	2	388	ExDog1_328398	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8884464958600587	54.6	434	454	1.21e-159	1
VANS	13	130	ExDog1_19964	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9958752823020992	78.0	118	199	4.54e-68	1
RPOB2	114	1145	ExDog1_14659	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947778788072551	58.5	1117	1240	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_43600	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999561396688419	62.7	287	402	9.71e-143	1
UGD	3	357	ExDog1_330107	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8792191821501986	58.8	379	429	3.00e-149	1
RPOB2	20	1122	ExDog1_318852	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943230425016671	53.8	1242	1216	0.0	1
VANR	1	231	ExDog1_133262	glycopeptide	gi:1028850587:ref:WP_064019550.1:|FEATURES|vanR|glycopeptide|vanR	0.9999957840068794	70.6	231	348	2.36e-122	1
TET32	1	639	ExDog1_221886	tetracycline	ABV82120|FEATURES|tet32|tetracycline|tet32	0.9999969751977195	88.3	639	1135	0.0	1
EFRB	12	362	ExDog1_227622	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8588294179138333	59.3	351	404	4.06e-138	1
EFRA	2	469	ExDog1_227621	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.9234159523275713	58.8	469	537	2.08e-188	1
LSA	1	490	ExDog1_1251	MLS	gi:499132967:ref:WP_010860999.1:|FEATURES|lsa|MLS|lsa	0.9241674242876945	56.9	490	568	1.84e-201	1
BCRA	4	302	ExDog1_33016	bacitracin	gi:447195835:ref:WP_001273091.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997115805363642	54.5	299	310	6.41e-106	1
ESCHERICHIA_COLI_MIPA	2	248	ExDog1_22301	multidrug	NP_310518|FEATURES|Escherichia_coli_mipA|multidrug|Escherichia_coli_mipA	0.995013156112944	99.2	247	518	5.53e-190	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_13468	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994488798412708	61.5	286	390	1.92e-138	1
VANR	5	235	ExDog1_141431	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999452798534934	54.5	231	253	7.98e-86	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	225	ExDog1_195789	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9956970441455505	53.5	230	217	6.99e-72	1
BCRA	7	309	ExDog1_113554	bacitracin	gi:445996726:ref:WP_000074581.1:|FEATURES|bcrA|bacitracin|bcrA	0.999875574009851	55.1	303	322	3.18e-110	1
VATB	7	209	ExDog1_54005	MLS	U19459.gene.p01|FEATURES|vatB|MLS|vatB	0.9999999993356075	55.7	203	241	6.38e-82	1
UGD	1	388	ExDog1_80380	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8907697881322575	57.7	418	461	1.08e-162	1
RPOB2	124	1124	ExDog1_385298	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9924772444591737	56.3	1084	1140	0.0	1
LNUC	1	164	ExDog1_65297	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9995233016376077	97.6	164	340	2.48e-122	1
BCRA	5	305	ExDog1_244105	bacitracin	gi:542061059:gb:ERI11611.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997859604264165	53.8	301	304	1.36e-103	1
VANU	1	63	ExDog1_7676	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9911817719591011	57.1	63	74.7	3.42e-20	1
BCRA	2	305	ExDog1_354472	bacitracin	gi:510143239:gb:AGN36970.1:|FEATURES|bcrA|bacitracin|bcrA	0.9996478629564877	53.0	304	302	4.78e-103	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	1	273	ExDog1_144421	aminoglycoside	YP_001878864|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999999141272622	100	273	538	2.24e-197	1
VANR	1	231	ExDog1_160028	glycopeptide	gi:447203855:ref:WP_001281111.1:|FEATURES|vanR|glycopeptide|vanR	0.9999916566106002	61.9	231	297	1.94e-103	1
VANR	1	231	ExDog1_71846	glycopeptide	AAZ98835|FEATURES|vanR|glycopeptide|vanR	0.9999978723447097	75.9	232	373	3.32e-133	1
VANR	5	234	ExDog1_24823	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.999993900556459	63.5	230	306	7.08e-107	1
LSAE	1	492	ExDog1_306624	MLS	AFU35065.1|FEATURES|lsaE|MLS|lsaE	0.9973051175646604	59.8	493	577	3.66e-205	1
CFXA6	12	326	ExDog1_53333	beta-lactam	ACT97371.1|FEATURES|CfxA6|beta-lactam|CfxA6	0.9999684026769514	80.3	315	476	7.26e-171	1
UGD	1	388	ExDog1_218278	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8974889638529537	61.2	410	483	2.22e-171	1
VANS	13	130	ExDog1_211323	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9931439585325643	70.3	118	181	1.69e-60	1
CFXA3	1	321	ExDog1_287506	beta-lactam	ZP_04543532|FEATURES|CfxA3|beta-lactam|CfxA3	0.9999888612054018	98.4	321	595	6.52e-218	1
BACTERIAL_REGULATORY_PROTEIN_LUXR	1	204	ExDog1_306211	unclassified	CP000034.1.gene4477.p01|FEATURES|bacterial_regulatory_protein_LuxR|unclassified|bacterial_regulatory_protein_LuxR	0.9986118155967959	100	204	396	2.00e-143	1
VANU	1	67	ExDog1_167177	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9904488533328475	52.2	67	73.6	1.10e-19	1
MACB	2	647	ExDog1_151855	MLS	gi:495004199:ref:WP_007730213.1:|FEATURES|macB|MLS|macB	0.9972068946451077	53.1	652	629	3.80e-221	1
VANR	1	230	ExDog1_370981	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.9999960518594179	70.9	230	350	2.10e-124	1
VANU	1	70	ExDog1_227060	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9937695173423869	57.1	70	79.7	4.21e-22	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	225	ExDog1_372830	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9986216114912597	59.1	225	258	5.41e-88	1
ESCHERICHIA_COLI_LAMB	1	446	ExDog1_94566	multidrug	BAB38442|FEATURES|Escherichia_coli_LamB|multidrug|Escherichia_coli_LamB	0.9960899090531901	99.8	446	926	0.0	1
EFRB	36	362	ExDog1_260957	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8083922946874996	53.4	328	350	2.51e-116	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_233795	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995269796684019	61.7	287	398	2.47e-141	1
UGD	1	388	ExDog1_6583	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	56.7	439	474	3.64e-167	1
BCRA	16	314	ExDog1_54747	bacitracin	YP_001373621|FEATURES|bcrA|bacitracin|bcrA	0.9996482296460487	52.5	299	304	1.82e-103	1
AADE	3	280	ExDog1_127053	aminoglycoside	FN594949.1.gene25.p01|FEATURES|aadE|aminoglycoside|aadE	0.9999998162119792	67.6	278	405	4.90e-144	1
RPOB2	27	1122	ExDog1_105726	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9917383395011677	51.7	1206	1116	0.0	1
RPOB2	20	1137	ExDog1_185112	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947956523348941	54.5	1245	1241	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_168921	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.99822830671329	53.6	291	338	1.54e-117	1
VANU	1	71	ExDog1_190053	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9889295675804172	50.7	71	71.6	6.12e-19	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog1_110301	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8397979968118455	56.8	74	81.6	1.35e-20	1
LSA	1	492	ExDog1_225819	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9982405010807778	64.0	494	637	2.85e-229	1
UGD	1	388	ExDog1_286305	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8901148521486434	54.7	439	459	2.36e-161	1
UGD	3	388	ExDog1_280629	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	58.8	408	474	8.45e-168	1
VANS	22	133	ExDog1_277677	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.990069398125245	66.1	112	169	5.13e-56	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	ExDog1_257923	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9718930221845029	52.5	118	131	1.63e-39	1
VANU	1	67	ExDog1_230907	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9843253883447586	50.7	67	67.0	3.65e-17	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	225	ExDog1_363971	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9986693412114128	52.9	223	242	1.15e-81	1
VANU	1	62	ExDog1_83219	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9957179176226155	67.7	62	85.5	2.01e-24	1
TET32	1	639	ExDog1_303844	tetracycline	ABV82118|FEATURES|tet32|tetracycline|tet32	0.9999975236271053	100	639	1275	0.0	1
PBP-2X	2	750	ExDog1_98372	beta-lactam	YP_002735431|FEATURES|PBP-2X|beta-lactam|PBP-2X	0.9999994647363889	53.8	756	773	1.18e-274	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	126	ExDog1_83071	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9523177492308249	55.6	126	141	1.79e-43	1
ACRB	1	1034	ExDog1_79296	multidrug	YP_002240037|FEATURES|acrB|multidrug|acrB	0.8988036419070042	59.9	1060	1191	0.0	1
DNA-BINDING_PROTEIN_H-NS	1	137	ExDog1_156553	unclassified	NC_002695.1.913113.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	0.9998673234165256	100	137	245	1.07e-85	1
RPOB2	24	1122	ExDog1_82916	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947421014048177	55.3	1200	1238	0.0	1
EMRR	1	176	ExDog1_138170	fluoroquinolone	NP_417169.1|FEATURES|emrR|fluoroquinolone|emrR	0.9598290563583429	100	176	347	7.81e-125	1
PMRF	1	322	ExDog1_111625	peptide	AAC75314.1|FEATURES|PmrF|peptide|PmrF	0.923324140744031	100	322	628	3.04e-231	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	264	ExDog1_11393	aminoglycoside	Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999869636906977	58.3	254	276	2.21e-92	1
UGD	3	310	ExDog1_205153	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8650614034532718	60.1	328	398	9.01e-138	1
MACB	3	648	ExDog1_132249	MLS	gi:671541568:ref:WP_031525212.1:|FEATURES|macB|MLS|macB	0.9971254459358136	52.9	652	621	6.11e-218	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_26768	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993807282682569	61.7	287	384	1.09e-135	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_328797	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995445303402519	61.7	287	400	2.12e-142	1
MDTM	1	410	ExDog1_262493	multidrug	gi:487406742:ref:WP_001674825.1:|FEATURES|mdtM|multidrug|mdtM	0.9998800469221825	99.5	410	778	3.29e-287	1
VANR	1	230	ExDog1_289605	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.9999976637865615	71.7	230	355	4.43e-126	1
LNUC	1	164	ExDog1_284759	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9944858973389687	59.1	164	212	7.40e-72	1
APH(3'')-I	1	267	ExDog1_43015	aminoglycoside	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	0.9997420155947435	99.3	267	548	3.09e-201	1
APH(6)-I	1	278	ExDog1_43014	aminoglycoside	gi:749197708:ref:WP_040110386.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	0.9999998523862239	100	278	561	2.35e-206	1
MEPA	3	183	ExDog1_195931	multidrug	gi:313609598:gb:EFR85124.1:|FEATURES|mepA|multidrug|mepA	0.8834446310833379	54.7	181	193	4.52e-63	1
BCRA	14	315	ExDog1_220169	bacitracin	gi:542061059:gb:ERI11611.1:|FEATURES|bcrA|bacitracin|bcrA	0.9995505795172451	53.0	302	304	1.65e-103	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_290039	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993166949538788	59.8	286	379	4.93e-134	1
TETP	1	420	ExDog1_187349	tetracycline	BAB71966|FEATURES|tetP|tetracycline|tetP	0.9999303804219601	100	420	790	4.27e-292	1
RPOB2	24	1123	ExDog1_220283	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9951325062204424	57.0	1201	1261	0.0	1
OMPR	1	366	ExDog1_221951	multidrug	CP000034.1.gene3672.p01|FEATURES|ompR|multidrug|ompR	0.9967230891462668	100	366	711	2.46e-261	1
CFXA6	12	331	ExDog1_274925	beta-lactam	ACT97371.1|FEATURES|CfxA6|beta-lactam|CfxA6	0.999994534606275	99.4	320	616	2.08e-226	1
RPOB2	20	1122	ExDog1_164336	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9945383254415641	53.8	1240	1227	0.0	1
VANU	1	67	ExDog1_275137	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9911817719591011	53.7	67	74.7	3.42e-20	1
RPOB2	84	1099	ExDog1_206657	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940965705574837	56.6	1116	1205	0.0	1
RPOB2	20	1135	ExDog1_233697	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9939246972826974	53.1	1259	1197	0.0	1
EFRA	4	469	ExDog1_326432	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8880757218728066	54.3	466	469	8.65e-162	1
EFRB	12	362	ExDog1_326433	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8083922946874998	53.1	352	350	7.55e-117	1
VANR	23	230	ExDog1_225030	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.999989928478834	71.2	208	320	6.60e-113	1
BCRA	16	314	ExDog1_268404	bacitracin	YP_001373621|FEATURES|bcrA|bacitracin|bcrA	0.9997245465447384	52.8	299	302	1.04e-102	1
AAC(6')-I	1	178	ExDog1_128465	aminoglycoside	AF337947.1.gene2.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.843530707082369	100	178	371	3.19e-134	1
APH(2'')-II	1	299	ExDog1_128466	aminoglycoside	AF207840.gene.p01|FEATURES|aph(2'')-II|aminoglycoside|aph(2'')-II	0.9998024652766591	100	299	600	6.83e-221	1
EFRB	19	362	ExDog1_287437	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.802850569890002	51.0	347	345	1.58e-114	1
RPOB2	28	1122	ExDog1_176220	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9953646848668057	60.3	1097	1276	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_331710	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993300402009416	60.6	287	380	2.45e-134	1
LSA	3	491	ExDog1_190931	MLS	gi:1003765182:ref:WP_061463312.1:|FEATURES|lsa|MLS|lsa	0.9990807559575612	62.8	489	624	5.98e-224	1
UGD	1	388	ExDog1_254659	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9158616364154339	69.8	388	563	1.83e-203	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	80	ExDog1_202072	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8029364128142332	50.0	80	76.3	1.05e-18	1
UGD	39	388	ExDog1_257328	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8877650014399753	61.8	372	452	8.51e-160	1
VANW	1	272	ExDog1_40062	glycopeptide	gi:1036536099:emb:SAM71689.1:|FEATURES|vanW|glycopeptide|vanW	0.9999976944147979	50.7	272	281	7.56e-96	1
VANS	25	356	ExDog1_40061	glycopeptide	AAY67972|FEATURES|vanS|glycopeptide|vanS	0.9931696718989259	50.0	340	327	5.34e-111	1
VANR	1	233	ExDog1_40060	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999952013478239	66.1	233	329	6.39e-116	1
LSAE	1	492	ExDog1_2400	MLS	AFU35065.1|FEATURES|lsaE|MLS|lsaE	0.9270878755074105	60.6	502	593	1.83e-211	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_67699	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995530443627791	62.4	287	401	1.50e-142	1
VANRI	4	232	ExDog1_43879	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999912748888806	63.3	229	315	1.48e-110	1
UGD	92	388	ExDog1_39690	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8624751782024468	63.7	317	393	1.78e-137	1
