#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	ARO	confers_resistance_to	resistance_to_drug_classes
VANU	1	62	ExDog1_83219	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9957179176226156	67.7	62	85.5	2.01e-24	1	ARO:3004253		
TET32	1	639	ExDog1_303844	tetracycline	ABV82118|FEATURES|tet32|tetracycline|tet32	0.9999975236271051	100.0	639	1275.0	0.0	1	ARO:3000196	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
PBP-2X	2	750	ExDog1_98372	beta-lactam	YP_002735431|FEATURES|PBP-2X|beta-lactam|PBP-2X	0.9999994647363888	53.8	756	773.0	1.1799999999999999e-274	1	ARO:3003937	ARO:0000062,ARO:3000646	ARO:3000007,ARO:3000007
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	126	ExDog1_83071	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9523177492308248	55.6	126	141.0	1.79e-43	1	ARO:3000838		
ACRB	1	1034	ExDog1_79296	multidrug	YP_002240037|FEATURES|acrB|multidrug|acrB	0.8988036419070042	59.9	1060	1191.0	0.0	1	ARO:3000216	ARO:0000045	ARO:3005386
DNA-BINDING_PROTEIN_H-NS	1	137	ExDog1_156553	unclassified	NC_002695.1.913113.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	0.9998673234165256	100.0	137	245.0	1.07e-85	1	ARO:3000676		
RPOB2	24	1122	ExDog1_82916	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947421014048176	55.3	1200	1238.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
EMRR	1	176	ExDog1_138170	fluoroquinolone	NP_417169.1|FEATURES|emrR|fluoroquinolone|emrR	0.9598290563583428	100.0	176	347.0	7.81e-125	1	ARO:3000516		
PMRF	1	322	ExDog1_111625	peptide	AAC75314.1|FEATURES|PmrF|peptide|PmrF	0.923324140744031	100.0	322	628.0	3.04e-231	1	ARO:3003578	ARO:3000454	ARO:1000003
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	264	ExDog1_11393	aminoglycoside	Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999869636906976	58.3	254	276.0	2.21e-92	1	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
UGD	3	310	ExDog1_205153	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8650614034532718	60.1	328	398.0	9.01e-138	1	ARO:3003577	ARO:3000454	ARO:1000003
MACB	3	648	ExDog1_132249	MLS	gi:671541568:ref:WP_031525212.1:|FEATURES|macB|MLS|macB	0.9971254459358136	52.9	652	621.0	6.11e-218	1	ARO:3000535		
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_26768	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993807282682567	61.7	287	384.0	1.09e-135	1	ARO:3003982	ARO:0000066	ARO:0000017
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_328797	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999544530340252	61.7	287	400.0	2.12e-142	1	ARO:3003982	ARO:0000066	ARO:0000017
MDTM	1	410	ExDog1_262493	multidrug	gi:487406742:ref:WP_001674825.1:|FEATURES|mdtM|multidrug|mdtM	0.9998800469221824	99.5	410	778.0	3.29e-287	1	ARO:3001214	ARO:0000045,ARO:0000046,ARO:0000047,ARO:3000385,ARO:3000662	ARO:0000001,ARO:0000017,ARO:3000034,ARO:3000387,ARO:3005386
VANR	1	230	ExDog1_289605	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.9999976637865616	71.7	230	355.0	4.4299999999999994e-126	1	ARO:3002919		
LNUC	1	164	ExDog1_284759	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9944858973389687	59.1	164	212.0	7.400000000000001e-72	1	ARO:3002837	ARO:0000046	ARO:0000017
APH(3'')-I	1	267	ExDog1_43015	aminoglycoside	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	0.9997420155947436	99.3	267	548.0	3.09e-201	1	ARO:3002639	ARO:0000040	ARO:0000016
APH(6)-I	1	278	ExDog1_43014	aminoglycoside	gi:749197708:ref:WP_040110386.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	0.999999852386224	100.0	278	561.0	2.35e-206	1	ARO:3002660	ARO:0000040	ARO:0000016
MEPA	3	183	ExDog1_195931	multidrug	gi:313609598:gb:EFR85124.1:|FEATURES|mepA|multidrug|mepA	0.8834446310833379	54.7	181	193.0	4.52e-63	1	ARO:3000026	ARO:0000030,ARO:0000042	ARO:3000050,ARO:3000050
BCRA	14	315	ExDog1_220169	bacitracin	gi:542061059:gb:ERI11611.1:|FEATURES|bcrA|bacitracin|bcrA	0.9995505795172452	53.0	302	304.0	1.6500000000000002e-103	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_290039	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993166949538788	59.8	286	379.0	4.929999999999999e-134	1	ARO:3003982	ARO:0000066	ARO:0000017
TETP	1	420	ExDog1_187349	tetracycline	BAB71966|FEATURES|tetP|tetracycline|tetP	0.99993038042196	100.0	420	790.0	4.2699999999999995e-292	1	ARO:3000180	ARO:0000051	ARO:3000050
RPOB2	24	1123	ExDog1_220283	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9951325062204424	57.0	1201	1261.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
OMPR	1	366	ExDog1_221951	multidrug	CP000034.1.gene3672.p01|FEATURES|ompR|multidrug|ompR	0.9967230891462668	100.0	366	711.0	2.46e-261	1	ARO:3000830		
CFXA6	12	331	ExDog1_274925	beta-lactam	ACT97371.1|FEATURES|CfxA6|beta-lactam|CfxA6	0.999994534606275	99.4	320	616.0	2.08e-226	1	ARO:3003097		
RPOB2	20	1122	ExDog1_164336	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.994538325441564	53.8	1240	1227.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
VANU	1	67	ExDog1_275137	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9911817719591012	53.7	67	74.7	3.42e-20	1	ARO:3004253		
RPOB2	84	1099	ExDog1_206657	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940965705574836	56.6	1116	1205.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
RPOB2	20	1135	ExDog1_233697	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9939246972826974	53.1	1259	1197.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
EFRA	4	469	ExDog1_326432	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8880757218728066	54.3	466	469.0	8.65e-162	1	ARO:3003948		
EFRB	12	362	ExDog1_326433	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8083922946874998	53.1	352	350.0	7.55e-117	1	ARO:3003949		
VANR	23	230	ExDog1_225030	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.999989928478834	71.2	208	320.0	6.6e-113	1	ARO:3002919		
BCRA	16	314	ExDog1_268404	bacitracin	YP_001373621|FEATURES|bcrA|bacitracin|bcrA	0.9997245465447384	52.8	299	302.0	1.04e-102	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
AAC(6')-I	1	178	ExDog1_128465	aminoglycoside	AF337947.1.gene2.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.843530707082369	100.0	178	371.0	3.1899999999999996e-134	1	ARO:3004629	ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016
APH(2'')-II	1	299	ExDog1_128466	aminoglycoside	AF207840.gene.p01|FEATURES|aph(2'')-II|aminoglycoside|aph(2'')-II	0.9998024652766592	100.0	299	600.0	6.8299999999999995e-221	1	ARO:3002635	ARO:3003675	ARO:0000016
EFRB	19	362	ExDog1_287437	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.802850569890002	51.0	347	345.0	1.58e-114	1	ARO:3003949		
RPOB2	28	1122	ExDog1_176220	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9953646848668056	60.3	1097	1276.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_331710	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993300402009416	60.6	287	380.0	2.45e-134	1	ARO:3003982	ARO:0000066	ARO:0000017
LSA	3	491	ExDog1_190931	MLS	gi:1003765182:ref:WP_061463312.1:|FEATURES|lsa|MLS|lsa	0.9990807559575612	62.8	489	624.0	5.98e-224	1	ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
UGD	1	388	ExDog1_254659	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.915861636415434	69.8	388	563.0	1.8299999999999999e-203	1	ARO:3003577	ARO:3000454	ARO:1000003
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	80	ExDog1_202072	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8029364128142332	50.0	80	76.3	1.05e-18	1	ARO:3000838		
UGD	39	388	ExDog1_257328	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8877650014399753	61.8	372	452.0	8.51e-160	1	ARO:3003577	ARO:3000454	ARO:1000003
VANW	1	272	ExDog1_40062	glycopeptide	gi:1036536099:emb:SAM71689.1:|FEATURES|vanW|glycopeptide|vanW	0.999997694414798	50.7	272	281.0	7.56e-96	1	ARO:3002964		
VANS	25	356	ExDog1_40061	glycopeptide	AAY67972|FEATURES|vanS|glycopeptide|vanS	0.993169671898926	50.0	340	327.0	5.3399999999999996e-111	1	ARO:3002933		
VANR	1	233	ExDog1_40060	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.999995201347824	66.1	233	329.0	6.39e-116	1	ARO:3002926		
LSAE	1	492	ExDog1_2400	MLS	AFU35065.1|FEATURES|lsaE|MLS|lsaE	0.9270878755074105	60.6	502	593.0	1.83e-211	1	ARO:3003206	ARO:0000046,ARO:3001317	ARO:0000017,ARO:3000670
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_67699	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995530443627793	62.4	287	401.0	1.4999999999999999e-142	1	ARO:3003982	ARO:0000066	ARO:0000017
VANRI	4	232	ExDog1_43879	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999912748888806	63.3	229	315.0	1.48e-110	1	ARO:3003728		
UGD	92	388	ExDog1_39690	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8624751782024468	63.7	317	393.0	1.7799999999999998e-137	1	ARO:3003577	ARO:3000454	ARO:1000003
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	7	287	ExDog1_375764	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999015707576666	57.3	281	362.0	3.05e-127	1	ARO:3003982	ARO:0000066	ARO:0000017
DNA-BINDING_TRANSCRIPTIONAL_REGULATOR_GADX	21	274	ExDog1_310002	unclassified	gi:447113791:ref:WP_001191047.1:|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	0.999970328370581	100.0	254	496.0	4.45e-181	1	ARO:3000508		
SDIA	1	217	ExDog1_58933	unclassified	gi:291427610:gb:EFF00637.1:|FEATURES|sdiA|unclassified|sdiA	0.9995523013626914	100.0	217	430.0	7.74e-156	1	ARO:3000826		
ACRB	1	1030	ExDog1_313031	multidrug	gi:491078681:ref:WP_004940301.1:|FEATURES|acrB|multidrug|acrB	0.8421468512029535	60.8	1030	1187.0	0.0	1	ARO:3000777		
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	272	ExDog1_190493	aminoglycoside	YP_002401190|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999832998910556	56.1	262	263.0	1.02e-87	1	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
KDPE	4	225	ExDog1_152386	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9881944359840144	53.8	225	240.0	7.14e-81	1	ARO:3003841		
VANU	1	70	ExDog1_129183	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9954988631362424	60.0	70	84.7	3.9e-24	1	ARO:3004253		
TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR	1	232	ExDog1_37245	unclassified	CP000034.1.gene3834.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	0.9841434636732822	100.0	232	462.0	1.02e-168	1	ARO:3004054		
CPXA	1	457	ExDog1_37246	aminoglycoside:aminocoumarin	NP_312864.1|FEATURES|cpxA|aminoglycoside:aminocoumarin|cpxA	0.990189411969098	100.0	457	887.0	0.0	1	ARO:3000830		
TETR	2	200	ExDog1_329403	tetracycline	CAD09823.1|FEATURES|tetR|tetracycline|tetR	0.9976163052733048	51.2	201	197.0	1.5800000000000002e-64	1	ARO:3003479		
TETW	71	634	ExDog1_323855	tetracycline	AJ222769.gene.p01|FEATURES|tetW|tetracycline|tetW	0.9999970880354188	99.8	564	1098.0	0.0	1	ARO:3000194	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
VANR	5	235	ExDog1_126879	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999741814916026	55.6	234	256.0	4.87e-87	1	ARO:3002926		
UGD	1	388	ExDog1_44064	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	58.5	412	474.0	1.1500000000000001e-166	1	ARO:3003577	ARO:3000454	ARO:1000003
ACRA	13	409	ExDog1_81787	multidrug	YP_002269113|FEATURES|acrA|multidrug|acrA	0.9999982291457028	100.0	397	746.0	3.75e-275	1	ARO:3004043		
BCRA	5	308	ExDog1_19270	bacitracin	gi:445996710:ref:WP_000074565.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997021016912608	52.6	304	301.0	2.21e-102	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
UGD	1	388	ExDog1_100074	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8989011283279179	60.2	412	488.0	4.09e-173	1	ARO:3003577	ARO:3000454	ARO:1000003
EMRK	1	387	ExDog1_312779	multidrug	gi:585367575:ref:WP_024249154.1:|FEATURES|emrK|multidrug|emrK	0.999943808651952	99.5	387	741.0	1.4900000000000001e-273	1	ARO:3000206		
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	80	ExDog1_346168	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	57.5	73	78.2	4.4900000000000005e-21	1	ARO:3000838		
BACA	7	291	ExDog1_272450	bacitracin	YP_584847|FEATURES|bacA|bacitracin|bacA	0.983650778569374	50.5	285	286.0	1.63e-97	1	ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
KDPE	4	225	ExDog1_3013	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9880432041275156	53.8	225	239.0	2.04e-80	1	ARO:3003841		
UGD	3	388	ExDog1_226951	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8983415167361747	60.0	405	486.0	3.09e-171	1	ARO:3003577	ARO:3000454	ARO:1000003
MEPA	7	404	ExDog1_340683	multidrug	gi:313638554:gb:EFS03703.1:|FEATURES|mepA|multidrug|mepA	0.9957121673795416	50.3	398	375.0	3.3199999999999995e-128	1	ARO:3000026	ARO:0000030,ARO:0000042	ARO:3000050,ARO:3000050
VANR	5	235	ExDog1_203790	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.999975662834501	54.3	234	248.0	9.71e-84	1	ARO:3002926		
VANR	3	235	ExDog1_197630	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999891412069792	59.2	233	280.0	1.09e-96	1	ARO:3002926		
ROSA	16	402	ExDog1_71743	fosmidomycin	YP_001401993|FEATURES|rosA|fosmidomycin|rosA	0.9985580997861346	52.2	389	403.0	1.44e-139	1	ARO:3003048		
VANU	1	70	ExDog1_325981	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.98925444565366	51.4	70	72.0	7.4e-19	1	ARO:3004253		
ACRB	1	1034	ExDog1_66026	multidrug	CP000647.1.gene443.p01|FEATURES|acrB|multidrug|acrB	0.8936105320463524	60.1	1060	1195.0	0.0	1	ARO:3000216	ARO:0000045	ARO:3005386
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	2	226	ExDog1_368703	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9983837696284118	53.3	225	245.0	6.05e-83	1	ARO:3000838		
RPOB2	114	1145	ExDog1_231870	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9946692964515208	58.3	1117	1234.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
VANU	1	67	ExDog1_23439	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9922894847035462	50.7	67	76.6	6.680000000000001e-21	1	ARO:3004253		
VANU	1	67	ExDog1_340903	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.98956926642154	52.2	67	72.4	2.81e-19	1	ARO:3004253		
ACRA	28	403	ExDog1_81747	multidrug	YP_001879173|FEATURES|acrA|multidrug|acrA	0.9993446637616666	51.8	380	326.0	1.15e-109	1	ARO:3004043		
MDTE	1	385	ExDog1_193922	multidrug	ACB17952|FEATURES|mdtE|multidrug|mdtE	0.9999799535446582	100.0	385	722.0	2.64e-266	1	ARO:3000795		
VANU	1	62	ExDog1_310188	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9919007792724108	59.7	62	75.9	4.33e-20	1	ARO:3004253		
RPOB2	20	1122	ExDog1_108608	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9945949996682486	53.8	1240	1230.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
PATA	1	459	ExDog1_224771	fluoroquinolone	NP_417544.5|FEATURES|patA|fluoroquinolone|patA	0.9618548862027702	99.6	459	902.0	0.0	1			
UGD	18	388	ExDog1_36638	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8808108416605626	53.5	424	433.0	1.78e-151	1	ARO:3003577	ARO:3000454	ARO:1000003
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_92505	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9991025865596052	56.4	291	366.0	9.160000000000001e-129	1	ARO:3003982	ARO:0000066	ARO:0000017
VANU	1	63	ExDog1_197046	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9937695173423868	61.9	63	79.7	4.74e-22	1	ARO:3004253		
UGD	1	388	ExDog1_276736	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8957348911183318	59.8	410	477.0	7.2e-169	1	ARO:3003577	ARO:3000454	ARO:1000003
EFRA	2	482	ExDog1_139985	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8880757218728066	51.8	483	469.0	3.92e-162	1	ARO:3003948		
UGD	8	388	ExDog1_333289	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.893613171798529	60.5	403	470.0	1.99e-166	1	ARO:3003577	ARO:3000454	ARO:1000003
TOLC	12	506	ExDog1_348641	multidrug	gi:81246703:gb:ABB67411.1:|FEATURES|TolC|multidrug|TolC	0.9905209419196526	99.8	495	919.0	0.0	1	ARO:3000237		
CLASS_A	13	261	ExDog1_178274	beta-lactam	AAA21532|FEATURES|class_A|beta-lactam|class_A	0.996040252155038	55.0	249	285.0	4.1100000000000003e-97	1	ARO:3003559		
UGD	1	388	ExDog1_43976	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8980591767263313	60.7	410	485.0	4.3899999999999995e-172	1	ARO:3003577	ARO:3000454	ARO:1000003
TETG	6	391	ExDog1_200508	tetracycline	AF133140.gene.p01|FEATURES|tetG|tetracycline|tetG	0.999999414328834	96.1	386	709.0	3.67e-261	1	ARO:3000174	ARO:0000051	ARO:3000050
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	47	218	ExDog1_302368	unclassified	gi:446114283:ref:WP_000192138.1:|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9955923380166738	50.0	180	174.0	2.7699999999999998e-55	1	ARO:3000838		
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_45616	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994488798412708	61.7	287	390.0	3.86e-138	1	ARO:3003982	ARO:0000066	ARO:0000017
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	225	ExDog1_294684	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9860067709884568	52.0	227	211.0	1.5599999999999998e-69	1	ARO:3000838		
VANR	5	235	ExDog10_102599	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.99997552900279	55.6	234	256.0	4.87e-87	1	ARO:3002926		
EFRA	2	434	ExDog10_160324	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.9234159523275712	50.9	436	417.0	1.5799999999999999e-142	1	ARO:3003948		
LSA	1	492	ExDog10_128198	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9972688269182244	63.6	492	639.0	7.59e-230	1	ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	225	ExDog10_210246	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9912466846232718	52.4	227	210.0	4.45e-69	1	ARO:3000838		
BCRA	5	305	ExDog10_293542	bacitracin	gi:445996708:ref:WP_000074563.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997221781255946	53.5	301	300.0	6.83e-102	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
VANR	14	235	ExDog10_162437	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9998428434339206	52.7	222	236.0	1.58e-79	1	ARO:3002926		
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_210454	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995257538355636	61.9	286	396.0	1.42e-140	1	ARO:3003982	ARO:0000066	ARO:0000017
MEL	1	485	ExDog10_151950	MLS	WP_000420313.1|FEATURES|mel|MLS|mel	0.9815207452612124	88.2	485	842.0	4.59e-310	1	ARO:3003109	ARO:0000006	ARO:0000000
