	Original ID	ARO Replacement	Gene Name in CARD
214	253721162|ACT33471.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
215	6560606|AAF16682.1|1|1|srpR|srpR||1|EFFLUX|EFFLUX|solvent_efflux_transporter_antirepressor_SrpR	srpR	srpR
216	406780449|AFS59871.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	sepA	sepA
217	356484899|AET11995.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	NleA	nleA
218	139003851|BAF52377.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
219	30043229|AAP18950.1|1|1|lpfA-O113|lpfA-O113||1|||long_polar_fimbria_major_subunit_LpfA-O113	LpfA-O113	lpfA-O113
220	374343515|BAL47132.1|1|1|epsilon-4|epsilon-4||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-4	epsilon-4
221	0|WP_050293540.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X27	3003938 	pbp2x
222	0|WP_000872277.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X6	3003938 	pbp2x
223	257759657|BAI31154.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
224	170521958|ACB20136.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha	iha	iha
225	282948281|CBG87859.1|1|1|nleB|nleB||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB	nleB	nleB
226	222708701|ACM67152.1|1|1|beta-2|beta-2||1|BETA|INTIMIN|intimin_type_beta	beta-2	beta-2
227	22759881|BAC10987.1|1|1|stxA1c|stxA1c||1|STX1C|STX1|Shiga_toxin_Stx1c_subunit_A	stxA1c	stxA1c
